epoch,Acc,loss,lr,val_Acc,val_loss
0,0.22574999928474426,2.469911575317383,0.01,0.09759999811649323,23202.091796875
1,0.361050009727478,1.9078054428100586,0.01,0.10350000113248825,214.61737060546875
2,0.4311999976634979,1.7343575954437256,0.01,0.14820000529289246,4.980621814727783
3,0.49877500534057617,1.5547243356704712,0.01,0.23909999430179596,2.5132060050964355
4,0.5577250123023987,1.4026083946228027,0.01,0.17100000381469727,3.417245626449585
5,0.5987499952316284,1.2813538312911987,0.01,0.16210000216960907,3.5371546745300293
6,0.6353750228881836,1.1819262504577637,0.01,0.15610000491142273,3.591858148574829
7,0.66982501745224,1.0885488986968994,0.01,0.22310000658035278,3.1800332069396973
8,0.6972000002861023,1.0187366008758545,0.01,0.18359999358654022,3.2522590160369873
9,0.727524995803833,0.9360365271568298,0.01,0.1615999937057495,3.2078771591186523
10,0.7527499794960022,0.869164228439331,0.01,0.13420000672340393,3.804405450820923
11,0.7671999931335449,0.8285202383995056,0.01,0.12630000710487366,4.477782249450684
12,0.7885249853134155,0.785942018032074,0.01,0.18150000274181366,3.2520344257354736
13,0.8041499853134155,0.7334455847740173,0.01,0.13420000672340393,4.316839218139648
14,0.8215500116348267,0.6935232281684875,0.01,0.15449999272823334,4.5799102783203125
15,0.8280749917030334,0.677848219871521,0.01,0.11249999701976776,5.366343975067139
16,0.8310250043869019,0.6749349236488342,0.01,0.1379999965429306,4.721466064453125
17,0.8431749939918518,0.6436978578567505,0.01,0.2305999994277954,4.233047962188721
18,0.8586750030517578,0.6054502129554749,0.01,0.14669999480247498,4.835465431213379
19,0.8693749904632568,0.5834157466888428,0.01,0.2281000018119812,3.994480848312378
20,0.8701750040054321,0.5859438180923462,0.01,0.3073999881744385,3.673884868621826
21,0.8804000020027161,0.5672298669815063,0.01,0.23019999265670776,4.069943428039551
22,0.8879250288009644,0.5549180507659912,0.01,0.41269999742507935,2.563260078430176
23,0.8859750032424927,0.5608030557632446,0.01,0.5175999999046326,1.9417263269424438
24,0.8926249742507935,0.544119119644165,0.01,0.5899999737739563,1.5263901948928833
25,0.9044749736785889,0.5204777121543884,0.01,0.5059999823570251,2.184009313583374
26,0.9035000205039978,0.5273544788360596,0.01,0.5199000239372253,2.4334475994110107
27,0.9102749824523926,0.5129609107971191,0.01,0.5756999850273132,1.9375871419906616
28,0.9157750010490417,0.5053699016571045,0.01,0.507099986076355,2.3221592903137207
29,0.9195500016212463,0.4997580945491791,0.01,0.6327000260353088,2.017838478088379
30,0.9155250191688538,0.5134047865867615,0.01,0.6577000021934509,1.603212833404541
31,0.9210000038146973,0.506096363067627,0.01,0.6047999858856201,1.7881476879119873
32,0.9303749799728394,0.48662418127059937,0.01,0.6775000095367432,1.5278674364089966
33,0.9361000061035156,0.4737044870853424,0.01,0.661899983882904,1.685684323310852
34,0.9342749714851379,0.47268036007881165,0.01,0.5460000038146973,2.709043264389038
35,0.9298999905586243,0.48758766055107117,0.01,0.5307999849319458,2.5977823734283447
36,0.9255499839782715,0.5062116384506226,0.01,0.6711000204086304,1.8117767572402954
37,0.9329249858856201,0.4886590838432312,0.01,0.609000027179718,2.2980151176452637
38,0.9410250186920166,0.47101929783821106,0.01,0.6646000146865845,1.8641273975372314
39,0.9369500279426575,0.47455286979675293,0.01,0.6789000034332275,1.767486333847046
40,0.9401749968528748,0.46788516640663147,0.01,0.6998999714851379,1.6443101167678833
41,0.9417499899864197,0.46492496132850647,0.01,0.6959999799728394,1.6007050275802612
42,0.9447500109672546,0.45861485600471497,0.01,0.5878000259399414,2.510114908218384
43,0.9488000273704529,0.44982314109802246,0.01,0.6940000057220459,1.6592754125595093
44,0.9516500234603882,0.4412027895450592,0.01,0.5640000104904175,2.7780539989471436
