epoch,Acc,loss,lr,val_Acc,val_loss
0,0.36125001311302185,1.7623101472854614,0.01,0.40709999203681946,1.6834168434143066
1,0.5374249815940857,1.2794820070266724,0.01,0.3490000069141388,2.7376129627227783
2,0.6245750188827515,1.0540233850479126,0.01,0.5254999995231628,1.6313385963439941
3,0.6815000176429749,0.8991743922233582,0.01,0.5989000201225281,1.2139889001846313
4,0.7236999869346619,0.7795466184616089,0.01,0.6381999850273132,1.1455328464508057
5,0.7535499930381775,0.6947530508041382,0.01,0.6327000260353088,1.197336196899414
6,0.787850022315979,0.6042329668998718,0.01,0.65420001745224,1.1480562686920166
7,0.809499979019165,0.5431414842605591,0.01,0.6969000101089478,1.0300945043563843
8,0.8283249735832214,0.4824730455875397,0.01,0.6863999962806702,1.0685397386550903
9,0.8515750169754028,0.4234597682952881,0.01,0.656499981880188,1.1998034715652466
10,0.8622999787330627,0.38475272059440613,0.01,0.6653000116348267,1.2584891319274902
11,0.8810499906539917,0.33654993772506714,0.01,0.6582000255584717,1.4033023118972778
12,0.8921999931335449,0.3006683886051178,0.01,0.7182000279426575,1.058969259262085
13,0.9067749977111816,0.26620760560035706,0.01,0.6607999801635742,1.4742581844329834
14,0.9161249995231628,0.23363512754440308,0.01,0.7085999846458435,1.2147407531738281
15,0.9257500171661377,0.20643706619739532,0.01,0.7215999960899353,1.1893259286880493
16,0.9310500025749207,0.18946540355682373,0.01,0.718999981880188,1.284546136856079
17,0.9376000165939331,0.17842376232147217,0.01,0.6428999900817871,1.7432650327682495
18,0.9428499937057495,0.15916167199611664,0.01,0.7053999900817871,1.4954198598861694
19,0.9459999799728394,0.15010185539722443,0.01,0.7113999724388123,1.5256729125976562
20,0.9477750062942505,0.14635787904262543,0.01,0.6854000091552734,1.6700448989868164
21,0.9546499848365784,0.12534601986408234,0.01,0.7027000188827515,1.7759345769882202
22,0.9538000226020813,0.12614066898822784,0.01,0.739799976348877,1.421095371246338
23,0.9593250155448914,0.11650452762842178,0.01,0.7297999858856201,1.3792154788970947
24,0.9590499997138977,0.11630848050117493,0.01,0.6937999725341797,1.7913283109664917
25,0.9595749974250793,0.11274049431085587,0.01,0.7111999988555908,1.5852972269058228
26,0.9606000185012817,0.11083013564348221,0.01,0.7069000005722046,1.5228968858718872
27,0.9659249782562256,0.09774927794933319,0.01,0.7383000254631042,1.5502982139587402
28,0.9632999897003174,0.10621568560600281,0.01,0.7369999885559082,1.5582257509231567
29,0.9659749865531921,0.09552419185638428,0.01,0.7240999937057495,1.6495023965835571
30,0.9671750068664551,0.09391830116510391,0.01,0.7168999910354614,1.8709548711776733
31,0.9663500189781189,0.09299817681312561,0.01,0.7263000011444092,1.5866210460662842
32,0.9678999781608582,0.08990393579006195,0.01,0.7300000190734863,1.7309619188308716
33,0.97079998254776,0.08225774019956589,0.01,0.7275999784469604,1.7605937719345093
34,0.9668999910354614,0.09377724677324295,0.01,0.6873999834060669,2.101205825805664
35,0.9726250171661377,0.07682125270366669,0.01,0.7226999998092651,1.8932578563690186
36,0.9677500128746033,0.09222406148910522,0.01,0.7188000082969666,1.8195916414260864
37,0.9716749787330627,0.08256278932094574,0.01,0.7218000292778015,1.7203974723815918
38,0.9714999794960022,0.0807792916893959,0.01,0.7361999750137329,1.7124439477920532
39,0.977150022983551,0.06465990841388702,0.01,0.7275999784469604,1.877997636795044
40,0.9710500240325928,0.08151692897081375,0.01,0.7318000197410583,1.810138463973999
41,0.9730250239372253,0.07691124081611633,0.01,0.7307999730110168,1.7353935241699219
42,0.9749000072479248,0.07295738160610199,0.01,0.7426000237464905,1.7075730562210083
43,0.9769750237464905,0.06873157620429993,0.01,0.7174000144004822,1.8583279848098755
44,0.9747499823570251,0.07495517283678055,0.01,0.729200005531311,1.9336249828338623
45,0.9715499877929688,0.08253443986177444,0.01,0.7321000099182129,1.669295310974121
46,0.9801250100135803,0.05772540345788002,0.01,0.7335000038146973,1.8688288927078247
47,0.9786499738693237,0.06229795515537262,0.01,0.7211999893188477,1.9943300485610962
48,0.977524995803833,0.06580165773630142,0.01,0.7059000134468079,2.0624282360076904
49,0.975724995136261,0.06999985873699188,0.01,0.7168999910354614,2.1551530361175537
50,0.9738749861717224,0.07526372373104095,0.01,0.7335000038146973,1.9180067777633667
51,0.9789000153541565,0.05844854563474655,0.01,0.7282000184059143,1.854264497756958
52,0.9781000018119812,0.06381257623434067,0.01,0.7383999824523926,1.8338102102279663
53,0.9792249798774719,0.05933448672294617,0.01,0.7088000178337097,2.08667254447937
54,0.9758750200271606,0.07343418896198273,0.01,0.7268000245094299,1.8642531633377075
55,0.9786999821662903,0.06243179365992546,0.01,0.7129999995231628,2.010158061981201
56,0.9782249927520752,0.06306511908769608,0.01,0.738099992275238,1.7682081460952759
57,0.9834750294685364,0.047610390931367874,0.01,0.7488999962806702,1.8213719129562378
58,0.9829999804496765,0.048187095671892166,0.01,0.7117000222206116,2.1050684452056885
59,0.9781500101089478,0.062808096408844,0.01,0.7279999852180481,1.9888999462127686
60,0.9782249927520752,0.06467285752296448,0.01,0.7055000066757202,2.165971279144287
61,0.9803249835968018,0.057218946516513824,0.01,0.7206000089645386,1.9243972301483154
62,0.9811999797821045,0.054373644292354584,0.01,0.7325000166893005,1.9754247665405273
63,0.9809250235557556,0.056156691163778305,0.01,0.7343999743461609,1.9373623132705688
64,0.9853500127792358,0.04291272908449173,0.01,0.7416999936103821,1.803684949874878
65,0.9814249873161316,0.053878892213106155,0.01,0.7296000123023987,2.0452075004577637
66,0.9831500053405762,0.04881754145026207,0.01,0.7404999732971191,1.8800851106643677
67,0.984125018119812,0.04761471226811409,0.01,0.741100013256073,1.8516634702682495
68,0.9815000295639038,0.05427538603544235,0.01,0.7120000123977661,2.461714506149292
69,0.9809250235557556,0.055902618914842606,0.01,0.7268999814987183,2.043222427368164
70,0.9816250205039978,0.055040620267391205,0.01,0.7423999905586243,1.9398869276046753
71,0.9866250157356262,0.040989454835653305,0.01,0.7484999895095825,2.006382703781128
72,0.9840250015258789,0.04696713015437126,0.01,0.7389000058174133,1.9202874898910522
73,0.979075014591217,0.06334690749645233,0.01,0.7199000120162964,2.235488176345825
74,0.9840499758720398,0.04846503958106041,0.01,0.7429999709129333,1.942436933517456
75,0.9857249855995178,0.04151078313589096,0.01,0.732200026512146,2.0873770713806152
76,0.9870749711990356,0.04005270078778267,0.01,0.7300000190734863,1.9524039030075073
77,0.9813249707221985,0.05632644519209862,0.01,0.6881999969482422,2.697871208190918
78,0.9834250211715698,0.04855066537857056,0.01,0.7396000027656555,2.009486198425293
79,0.9856749773025513,0.04226778820157051,0.01,0.7501999735832214,1.8981385231018066
80,0.9842749834060669,0.04645034670829773,0.01,0.7350999712944031,2.0037386417388916
81,0.9864500164985657,0.039708852767944336,0.01,0.7455999851226807,1.935977578163147
82,0.9820749759674072,0.0522867850959301,0.01,0.7423999905586243,1.9414719343185425
83,0.9860000014305115,0.040870361030101776,0.01,0.7376999855041504,2.1750242710113525
84,0.9851499795913696,0.041536517441272736,0.01,0.7459999918937683,1.9324519634246826
85,0.9859750270843506,0.04388808086514473,0.01,0.7470999956130981,1.944228172302246
86,0.9859499931335449,0.04106473550200462,0.01,0.7368999719619751,2.0830278396606445
87,0.9868999719619751,0.03870002180337906,0.01,0.7487999796867371,2.0746688842773438
88,0.9836000204086304,0.049311671406030655,0.01,0.7267000079154968,2.276418447494507
89,0.9846749901771545,0.043590009212493896,0.01,0.7379999756813049,1.931122064590454
90,0.9857249855995178,0.043098483234643936,0.01,0.7261000275611877,2.439009666442871
91,0.9857500195503235,0.04133675992488861,0.01,0.7287999987602234,2.154860734939575
