epoch,Acc,loss,lr,val_Acc,val_loss
0,0.13087500631809235,3.2260899543762207,0.01,0.09749999642372131,2.3049235343933105
1,0.16140000522136688,2.250870943069458,0.01,0.10339999943971634,2.318521738052368
2,0.1938749998807907,2.1709508895874023,0.01,0.11330000311136246,2.3109495639801025
3,0.24072499573230743,2.0125865936279297,0.01,0.15289999544620514,2.2180612087249756
4,0.3203499913215637,1.8158258199691772,0.01,0.1273999959230423,2.3676881790161133
5,0.3927749991416931,1.640375018119812,0.01,0.2587999999523163,1.9251666069030762
6,0.43492498993873596,1.5291937589645386,0.01,0.2046000063419342,2.059197425842285
7,0.4727250039577484,1.4387567043304443,0.01,0.1868000030517578,2.124474287033081
8,0.5054000020027161,1.359560489654541,0.01,0.18000000715255737,2.233471155166626
9,0.536424994468689,1.2833389043807983,0.01,0.1949000060558319,2.5630292892456055
10,0.562749981880188,1.2140175104141235,0.01,0.20589999854564667,2.8268585205078125
11,0.5889000296592712,1.1428020000457764,0.01,0.25279998779296875,2.3185596466064453
12,0.6132500171661377,1.0677083730697632,0.01,0.3068999946117401,2.0500669479370117
13,0.6323500275611877,1.0247637033462524,0.01,0.38519999384880066,1.7812347412109375
14,0.6535750031471252,0.9656565189361572,0.01,0.52920001745224,1.3779574632644653
15,0.6734499931335449,0.9144309759140015,0.01,0.475600004196167,1.462303638458252
16,0.6895999908447266,0.8752754926681519,0.01,0.5009999871253967,1.4603601694107056
17,0.7053750157356262,0.8283485174179077,0.01,0.4943000078201294,1.4009062051773071
18,0.7215250134468079,0.7871743440628052,0.01,0.5404000282287598,1.3281036615371704
19,0.7336000204086304,0.7543880939483643,0.01,0.5673999786376953,1.2186685800552368
20,0.746649980545044,0.7229384779930115,0.01,0.4194999933242798,1.757914423942566
21,0.755649983882904,0.6984075307846069,0.01,0.6553000211715698,1.0078539848327637
22,0.7680249810218811,0.6729573011398315,0.01,0.635699987411499,1.0477486848831177
23,0.7777249813079834,0.644402265548706,0.01,0.6506999731063843,1.0512863397598267
24,0.782925009727478,0.6223204135894775,0.01,0.49219998717308044,1.5838823318481445
25,0.7924749851226807,0.6036271452903748,0.01,0.6098999977111816,1.0804462432861328
26,0.7919750213623047,0.5967146754264832,0.01,0.6736999750137329,0.9893988966941833
27,0.8003749847412109,0.5779204368591309,0.01,0.5335000157356262,1.3976023197174072
28,0.8051750063896179,0.5621606707572937,0.01,0.652400016784668,1.023546576499939
29,0.8112999796867371,0.5441452860832214,0.01,0.5924000144004822,1.4265567064285278
30,0.8148249983787537,0.5358731150627136,0.01,0.6312999725341797,1.1880165338516235
31,0.8228499889373779,0.5151964426040649,0.01,0.4117000102996826,1.9962608814239502
32,0.8248000144958496,0.5072198510169983,0.01,0.4465000033378601,2.3393478393554688
33,0.825950026512146,0.5026576519012451,0.01,0.3776000142097473,2.5134475231170654
34,0.8309000134468079,0.4848783612251282,0.01,0.6018000245094299,1.1350098848342896
